time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-14T15:35:10.220Z,38.795166,-122.8095016,2.64,0.85,md,9,127,0.01693,0.04,nc,nc73181515,2019-05-14T16:40:02.620Z,"5km WNW of The Geysers, CA",earthquake,0.49,1.2,0.36,2,automatic,nc,nc
2019-05-14T15:28:30.240Z,36.4615,-89.5725,10.47,1.25,md,17,100,0.04619,0.06,nm,nm60271376,2019-05-14T17:04:50.170Z,"12km NW of Tiptonville, Tennessee",earthquake,0.57,0.43,0.052,8,reviewed,nm,nm
2019-05-14T15:25:33.250Z,46.8531666666667,-121.751333333333,1.07,1.13,ml,7,108,,0.07,uw,uw61522626,2019-05-14T16:54:54.230Z,"28km NNW of Packwood, Washington",earthquake,0.29,0.6,0.112072486687338,3,reviewed,uw,uw
2019-05-14T15:07:57.986Z,37.909,20.177,10,4.4,mb,,73,1.569,0.86,us,us70003l13,2019-05-14T16:01:26.040Z,"39km SW of Lixourion, Greece",earthquake,5.6,1.8,0.135,16,reviewed,us,us
2019-05-14T15:06:34.553Z,62.1911,-149.8244,12.8,1.6,ml,,,,0.65,ak,ak01965uzd7j,2019-05-14T15:09:25.336Z,"3km NNE of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T15:05:26.840Z,33.7743333,-116.9455,14.83,1.2,ml,39,69,0.08088,0.16,ci,ci38593560,2019-05-14T18:17:21.301Z,"2km SE of San Jacinto, CA",earthquake,0.26,0.38,0.174,30,reviewed,ci,ci
2019-05-14T14:56:16.059Z,61.5012,-146.546,10.4,2.1,ml,,,,0.78,ak,ak01965uom0o,2019-05-14T15:01:43.086Z,"42km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T14:55:18.830Z,19.336834,-155.1439972,4.39,1.71,ml,47,108,0.04866,0.18,hv,hv70952186,2019-05-14T15:01:01.350Z,"14km SE of Volcano, Hawaii",earthquake,0.38,1.13,0.1,4,automatic,hv,hv
2019-05-14T14:43:39.380Z,37.3162,-114.9222,20.1,1.2,ml,13,243.75,0.092,0.18,nn,nn00684747,2019-05-14T15:54:51.791Z,"22km ESE of Alamo, Nevada",earthquake,,1.1,,,automatic,nn,nn
2019-05-14T14:40:49.801Z,61.3806,-149.8879,30.5,2,ml,,,,0.96,ak,ak01965ul94k,2019-05-14T14:44:37.793Z,"16km SSE of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T14:36:34.141Z,-3.769,152.0238,9.61,5,mb,,93,0.442,1.04,us,us70003l0z,2019-05-14T17:02:11.040Z,"46km WSW of Namatanai, Papua New Guinea",earthquake,4,4.5,0.047,147,reviewed,us,us
2019-05-14T14:35:14.970Z,33.4883333,-116.4323333,9.05,0.78,ml,22,98,0.03541,0.17,ci,ci38593536,2019-05-14T18:09:36.607Z,"22km SSW of La Quinta, CA",earthquake,0.28,0.64,0.092,16,reviewed,ci,ci
2019-05-14T14:27:23.314Z,63.376,-150.2873,124.6,1.1,ml,,,,0.56,ak,ak01965uidd7,2019-05-14T16:42:31.134Z,"66km W of Cantwell, Alaska",earthquake,,0.5,,,reviewed,ak,ak
